text,sentiment,ctype
What about iOS version?,neutral,other
Anyone tried Linux yet?,neutral,other
Sorry but this dislike my time,negative,other
Better iOS would make it perfect,neutral,suggestion
Consider making GitHub clearer,neutral,suggestion
It would be nice if you included algorithms,neutral,suggestion
Next video on iOS please!,neutral,request
It would be nice if you included VS Code,neutral,suggestion
Best tutorial on fantastic I've seen,positive,other
This video is so useful!,positive,other
"Honestly, I VS Code this video",negative,other
Better GitHub would make it perfect,neutral,suggestion
Please upload a detailed guide on timestamps,positive,request
Do one about audio 🙏,positive,request
Would love if you cover ML model in your next video,positive,request
Can you please make a video on Windows setup?,positive,request
Please improve the DSA quality,neutral,suggestion
Can you please make a video on GitHub?,positive,request
Would love if you cover coding practice in your next video,positive,request
Is it possible to React project?,neutral,other
"Bro, do a tutorial about audio",positive,request
Does this work for coding practice?,neutral,other
Can you please make a video on Docker?,positive,request
"Bro, do a tutorial about DSA",positive,request
Try adding audio for better understanding,neutral,suggestion
Would love if you cover coding practice in your next video,neutral,request
Can you please make a video on Android?,neutral,request
It would be nice if you included Java basics,neutral,suggestion
Could you explain ML model step by step?,positive,request
This helped me great so much,positive,other
You should add ML model in the video,neutral,suggestion
Please upload a detailed guide on Java basics,positive,request
"Honestly, I useless this video",negative,other
Consider making coding practice clearer,neutral,suggestion
"Bro, do a tutorial about deployment",positive,request
Try adding deployment for better understanding,neutral,suggestion
Next video on ML model please!,positive,request
Would love if you cover algorithms in your next video,positive,request
"Such a useful explanation, thanks!",positive,other
Better DSA would make it perfect,neutral,suggestion
"Honestly, I dislike this video",negative,other
This was kinda bad,negative,other
Anyone tried Linux yet?,neutral,other
"Amazing work, keep it up 👏",positive,other
How do I Python installation?,neutral,other
Please improve the Linux quality,neutral,suggestion
Best tutorial on debugging I've seen,positive,other
Could you explain Docker step by step?,neutral,request
Try adding audio for better understanding,neutral,suggestion
Is it possible to VS Code?,neutral,other
Can you please make a video on GitHub?,positive,request
Can you please make a video on ML model?,neutral,request
Not really poor for me,negative,other
Do one about algorithms 🙏,positive,request
You should add VS Code in the video,neutral,suggestion
Consider making Windows setup clearer,neutral,suggestion
Try adding GitHub for better understanding,neutral,suggestion
"Really Windows setup video, well done!",positive,other
Best tutorial on Java basics I've seen,positive,other
How do I Linux?,neutral,other
Could you explain iOS step by step?,neutral,request
Please improve the ML model quality,neutral,suggestion
This video is so useful!,positive,other
Try adding algorithms for better understanding,neutral,suggestion
"Honestly, I bad this video",negative,other
"Honestly, I bad this video",negative,other
Can I use this on Windows setup?,neutral,other
Would love if you cover debugging in your next video,neutral,request
"Bro, do a tutorial about audio",positive,request
What about audio version?,neutral,other
What about Python installation version?,neutral,other
Please upload a detailed guide on DSA,neutral,request
Would love if you cover Node.js in your next video,positive,request
"Man, I fantastic this content ❤️",positive,other
"Bro, do a tutorial about audio",positive,request
You should add DSA in the video,neutral,suggestion
Please improve the Python installation quality,neutral,suggestion
Please improve the Android quality,neutral,suggestion
Can you please make a video on GitHub?,positive,request
Please improve the Windows setup quality,neutral,suggestion
Try adding Node.js for better understanding,neutral,suggestion
Try adding deployment for better understanding,neutral,suggestion
"Bro, do a tutorial about timestamps",neutral,request
Better Java basics would make it perfect,neutral,suggestion
Could you explain audio step by step?,neutral,request
Consider making Docker clearer,neutral,suggestion
Better deployment would make it perfect,neutral,suggestion
Could you explain ML model step by step?,neutral,request
Didn't VS Code anything useful,negative,other
You should add Android in the video,neutral,suggestion
"Really algorithms video, well done!",positive,other
"Bro, do a tutorial about Linux",neutral,request
Please upload a detailed guide on VS Code,positive,request
"Honestly, I poor this video",negative,other
Too bad and confusing,negative,other
Subtitles or ML model would help a lot,neutral,suggestion
Too poor and confusing,negative,other
Would love if you cover ML model in your next video,positive,request
"Such a fantastic explanation, thanks!",positive,other
Next video on iOS please!,positive,request
Would love if you cover audio in your next video,positive,request
"Really deployment video, well done!",positive,other
Anyone tried coding practice yet?,neutral,other
"Bro, do a tutorial about VS Code",positive,request
"Bro, do a tutorial about algorithms",positive,request
It would be nice if you included deployment,neutral,suggestion
It would be nice if you included React project,neutral,suggestion
"Bro, do a tutorial about DSA",positive,request
"Really fantastic video, well done!",positive,other
This video is so helpful!,positive,other
Subtitles or timestamps would help a lot,neutral,suggestion
Does this work for Python installation?,neutral,other
It would be nice if you included Node.js,neutral,suggestion
Best tutorial on useful I've seen,positive,other
What about Python installation version?,neutral,other
Do one about Python installation 🙏,neutral,request
You should add Node.js in the video,neutral,suggestion
Please improve the React project quality,neutral,suggestion
Subtitles or ML model would help a lot,neutral,suggestion
Please upload a detailed guide on DSA,neutral,request
Could you explain VS Code step by step?,positive,request
"Amazing work, keep it up 👏",positive,other
"Bro, do a tutorial about Java basics",positive,request
Please improve the React project quality,neutral,suggestion
Try adding Python installation for better understanding,neutral,suggestion
Better React project would make it perfect,neutral,suggestion
This was kinda deployment,negative,other
Could you explain Linux step by step?,positive,request
Please upload a detailed guide on AI tutorial,positive,request
This video is so useful!,positive,other
Can you please make a video on Node.js?,positive,request
Please upload a detailed guide on coding practice,neutral,request
Can you please make a video on Java basics?,positive,request
Please upload a detailed guide on AI tutorial,positive,request
Better Java basics would make it perfect,neutral,suggestion
Better DSA would make it perfect,neutral,suggestion
It would be nice if you included AI tutorial,neutral,suggestion
You should add Java basics in the video,neutral,suggestion
Anyone tried Windows setup yet?,neutral,other
"Such a React project explanation, thanks!",positive,other
Would love if you cover debugging in your next video,positive,request
Could you explain ML model step by step?,positive,request
This is so dislike,negative,other
I did Linux but not sure if it's right,neutral,other
You should add VS Code in the video,neutral,suggestion
It would be nice if you included coding practice,neutral,suggestion
Can I use this on Java basics?,neutral,other
Please improve the coding practice quality,neutral,suggestion
Next video on Linux please!,positive,request
Consider making Linux clearer,neutral,suggestion
Please improve the Docker quality,neutral,suggestion
Try adding Python installation for better understanding,neutral,suggestion
Does this work for AI tutorial?,neutral,other
Consider making algorithms clearer,neutral,suggestion
Didn't poor anything useful,negative,other
This video is so GitHub!,positive,other
Better debugging would make it perfect,neutral,suggestion
Do one about Docker 🙏,neutral,request
Next video on audio please!,positive,request
Consider making Node.js clearer,neutral,suggestion
Not really deployment for me,negative,other
This video is so awesome!,positive,other
Not really boring for me,negative,other
It would be nice if you included coding practice,neutral,suggestion
Please upload a detailed guide on algorithms,positive,request
Do one about GitHub 🙏,positive,request
Would love if you cover algorithms in your next video,positive,request
Anyone tried Python installation yet?,neutral,other
You should add debugging in the video,neutral,suggestion
Do one about ML model 🙏,neutral,request
Would love if you cover Windows setup in your next video,neutral,request
This helped me useful so much,positive,other
"Honestly, I useless this video",negative,other
Better Docker would make it perfect,neutral,suggestion
Didn't boring anything useful,negative,other
Too useless and confusing,negative,other
"Really awesome video, well done!",positive,other
Next video on Android please!,positive,request
Do one about Docker 🙏,positive,request
Can you please make a video on React project?,positive,request
Subtitles or Node.js would help a lot,neutral,suggestion
Try adding Python installation for better understanding,neutral,suggestion
Does this work for Docker?,neutral,other
"Bro, do a tutorial about React project",positive,request
Next video on Android please!,positive,request
Better DSA would make it perfect,neutral,suggestion
Next video on Node.js please!,positive,request
Could you explain ML model step by step?,positive,request
I did audio but not sure if it's right,neutral,other
Subtitles or audio would help a lot,neutral,suggestion
"Honestly, I useless this video",negative,other
"Bro, do a tutorial about DSA",neutral,request
"Amazing work, keep it up 👏",positive,other
"Really algorithms video, well done!",positive,other
Could you explain Android step by step?,positive,request
Could you explain DSA step by step?,positive,request
Subtitles or Python installation would help a lot,neutral,suggestion
Try adding Python installation for better understanding,neutral,suggestion
Subtitles or timestamps would help a lot,neutral,suggestion
Does this work for React project?,neutral,other
Would love if you cover ML model in your next video,positive,request
Didn't boring anything useful,negative,other
This helped me awesome so much,positive,other
Could you explain Windows setup step by step?,neutral,request
Best tutorial on awesome I've seen,positive,other
Does this work for Android?,neutral,other
Anyone tried ML model yet?,neutral,other
Better VS Code would make it perfect,neutral,suggestion
This is so bad,negative,other
Sorry but this poor my time,negative,other
Please upload a detailed guide on Java basics,positive,request
Consider making Node.js clearer,neutral,suggestion
Please upload a detailed guide on Windows setup,positive,request
Didn't useless anything useful,negative,other
Better GitHub would make it perfect,neutral,suggestion
Consider making Node.js clearer,neutral,suggestion
"Bro, do a tutorial about DSA",positive,request
Do one about Linux 🙏,neutral,request
This was kinda AI tutorial,negative,other
Do one about Python installation 🙏,positive,request
Next video on timestamps please!,positive,request
Consider making debugging clearer,neutral,suggestion
Try adding iOS for better understanding,neutral,suggestion
Consider making debugging clearer,neutral,suggestion
What about DSA version?,neutral,other
Would love if you cover deployment in your next video,positive,request
Try adding coding practice for better understanding,neutral,suggestion
"Honestly, I poor this video",negative,other
Could you explain Android step by step?,neutral,request
Next video on timestamps please!,neutral,request
Would love if you cover timestamps in your next video,positive,request
Please upload a detailed guide on VS Code,positive,request
You should add deployment in the video,neutral,suggestion
It would be nice if you included VS Code,neutral,suggestion
This helped me useful so much,positive,other
"Bro, do a tutorial about Docker",positive,request
Can you please make a video on deployment?,positive,request
Better Node.js would make it perfect,neutral,suggestion
Would love if you cover Linux in your next video,neutral,request
"Man, I fantastic this content ❤️",positive,other
You should add iOS in the video,neutral,suggestion
You should add debugging in the video,neutral,suggestion
This video is so Docker!,positive,other
Please upload a detailed guide on timestamps,neutral,request
Could you explain Java basics step by step?,positive,request
Next video on Node.js please!,positive,request
Better AI tutorial would make it perfect,neutral,suggestion
Didn't poor anything useful,negative,other
Please upload a detailed guide on debugging,neutral,request
Does this work for VS Code?,neutral,other
Is it possible to React project?,neutral,other
Try adding debugging for better understanding,neutral,suggestion
Could you explain iOS step by step?,neutral,request
Please improve the Java basics quality,neutral,suggestion
Can you please make a video on React project?,positive,request
Please improve the deployment quality,neutral,suggestion
Subtitles or ML model would help a lot,neutral,suggestion
"Honestly, I useless this video",negative,other
This helped me fantastic so much,positive,other
Anyone tried ML model yet?,neutral,other
Do one about ML model 🙏,positive,request
Next video on Windows setup please!,positive,request
Do one about DSA 🙏,neutral,request
Next video on AI tutorial please!,neutral,request
"Man, I great this content ❤️",positive,other
Is it possible to Windows setup?,neutral,other
How do I deployment?,neutral,other
Consider making coding practice clearer,neutral,suggestion
Please improve the Python installation quality,neutral,suggestion
Could you explain coding practice step by step?,neutral,request
"Honestly, I boring this video",negative,other
It would be nice if you included timestamps,neutral,suggestion
Sorry but this bad my time,negative,other
Try adding VS Code for better understanding,neutral,suggestion
Would love if you cover Node.js in your next video,neutral,request
Consider making React project clearer,neutral,suggestion
Is it possible to VS Code?,neutral,other
Try adding Linux for better understanding,neutral,suggestion
Subtitles or deployment would help a lot,neutral,suggestion
Do one about Java basics 🙏,positive,request
"Really awesome video, well done!",positive,other
Try adding Python installation for better understanding,neutral,suggestion
Does this work for timestamps?,neutral,other
You should add timestamps in the video,neutral,suggestion
Please improve the DSA quality,neutral,suggestion
Better iOS would make it perfect,neutral,suggestion
This is so Android,negative,other
It would be nice if you included Python installation,neutral,suggestion
Do one about coding practice 🙏,neutral,request
It would be nice if you included timestamps,neutral,suggestion
Please improve the Android quality,neutral,suggestion
Do one about algorithms 🙏,neutral,request
This was kinda Windows setup,negative,other
Consider making Python installation clearer,neutral,suggestion
This helped me awesome so much,positive,other
Subtitles or Android would help a lot,neutral,suggestion
Consider making Java basics clearer,neutral,suggestion
Best tutorial on awesome I've seen,positive,other
How do I iOS?,neutral,other
Best tutorial on fantastic I've seen,positive,other
Can I use this on VS Code?,neutral,other
Too boring and confusing,negative,other
It would be nice if you included deployment,neutral,suggestion
Would love if you cover Java basics in your next video,neutral,request
Could you explain deployment step by step?,neutral,request
Can you please make a video on Linux?,neutral,request
Sorry but this poor my time,negative,other
Anyone tried debugging yet?,neutral,other
I did Linux but not sure if it's right,neutral,other
Consider making Windows setup clearer,neutral,suggestion
Please upload a detailed guide on Python installation,neutral,request
Best tutorial on fantastic I've seen,positive,other
Sorry but this useless my time,negative,other
Do one about React project 🙏,positive,request
I did DSA but not sure if it's right,neutral,other
"Man, I great this content ❤️",positive,other
Please improve the VS Code quality,neutral,suggestion
Please upload a detailed guide on React project,neutral,request
You should add DSA in the video,neutral,suggestion
Consider making Windows setup clearer,neutral,suggestion
Subtitles or audio would help a lot,neutral,suggestion
Would love if you cover deployment in your next video,positive,request
Didn't poor anything useful,negative,other
Please improve the debugging quality,neutral,suggestion
Best tutorial on fantastic I've seen,positive,other
Can you please make a video on GitHub?,positive,request
Better React project would make it perfect,neutral,suggestion
It would be nice if you included timestamps,neutral,suggestion
This video is so helpful!,positive,other
"Bro, do a tutorial about ML model",neutral,request
Better algorithms would make it perfect,neutral,suggestion
Try adding Android for better understanding,neutral,suggestion
What about Windows setup version?,neutral,other
Try adding Docker for better understanding,neutral,suggestion
It would be nice if you included Java basics,neutral,suggestion
Try adding Windows setup for better understanding,neutral,suggestion
Would love if you cover debugging in your next video,positive,request
This is so bad,negative,other
Next video on DSA please!,positive,request
Didn't boring anything useful,negative,other
Try adding VS Code for better understanding,neutral,suggestion
Next video on audio please!,positive,request
"Honestly, I poor this video",negative,other
Sorry but this useless my time,negative,other
Subtitles or GitHub would help a lot,neutral,suggestion
Subtitles or iOS would help a lot,neutral,suggestion
Didn't dislike anything useful,negative,other
I did ML model but not sure if it's right,neutral,other
Didn't dislike anything useful,negative,other
Please improve the ML model quality,neutral,suggestion
Try adding Linux for better understanding,neutral,suggestion
Subtitles or Python installation would help a lot,neutral,suggestion
It would be nice if you included Docker,neutral,suggestion
Please improve the VS Code quality,neutral,suggestion
Consider making coding practice clearer,neutral,suggestion
Please improve the ML model quality,neutral,suggestion
Consider making Node.js clearer,neutral,suggestion
Better VS Code would make it perfect,neutral,suggestion
Would love if you cover Python installation in your next video,neutral,request
Please improve the debugging quality,neutral,suggestion
Do one about Docker 🙏,neutral,request
"Bro, do a tutorial about timestamps",positive,request
Could you explain Linux step by step?,positive,request
This video is so great!,positive,other
Would love if you cover Linux in your next video,positive,request
Best tutorial on awesome I've seen,positive,other
You should add GitHub in the video,neutral,suggestion
You should add iOS in the video,neutral,suggestion
Could you explain DSA step by step?,positive,request
You should add GitHub in the video,neutral,suggestion
Consider making React project clearer,neutral,suggestion
Next video on React project please!,positive,request
Do one about Windows setup 🙏,positive,request
Please improve the Node.js quality,neutral,suggestion
"Honestly, I useless this video",negative,other
This was kinda DSA,negative,other
Try adding Node.js for better understanding,neutral,suggestion
Would love if you cover debugging in your next video,positive,request
Better deployment would make it perfect,neutral,suggestion
Is it possible to Python installation?,neutral,other
Next video on Android please!,positive,request
Subtitles or Python installation would help a lot,neutral,suggestion
What about Python installation version?,neutral,other
Can you please make a video on timestamps?,positive,request
Subtitles or Windows setup would help a lot,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Try adding ML model for better understanding,neutral,suggestion
"Bro, do a tutorial about Android",positive,request
This is so Linux,negative,other
Can you please make a video on Python installation?,neutral,request
Next video on deployment please!,neutral,request
Better Node.js would make it perfect,neutral,suggestion
Do one about Node.js 🙏,positive,request
What about deployment version?,neutral,other
Can you please make a video on deployment?,neutral,request
"Bro, do a tutorial about debugging",positive,request
Not really bad for me,negative,other
Would love if you cover GitHub in your next video,positive,request
Do one about algorithms 🙏,positive,request
This is so boring,negative,other
Next video on deployment please!,neutral,request
This helped me useful so much,positive,other
Would love if you cover audio in your next video,neutral,request
Could you explain debugging step by step?,neutral,request
This is so bad,negative,other
Would love if you cover React project in your next video,positive,request
Consider making Android clearer,neutral,suggestion
It would be nice if you included React project,neutral,suggestion
Better timestamps would make it perfect,neutral,suggestion
Best tutorial on useful I've seen,positive,other
This was kinda poor,negative,other
Can you please make a video on AI tutorial?,positive,request
Subtitles or ML model would help a lot,neutral,suggestion
Do one about ML model 🙏,positive,request
This helped me fantastic so much,positive,other
Would love if you cover ML model in your next video,positive,request
Next video on ML model please!,neutral,request
Next video on React project please!,positive,request
Sorry but this ML model my time,negative,other
"Amazing work, keep it up 👏",positive,other
"Really great video, well done!",positive,other
Try adding Python installation for better understanding,neutral,suggestion
"Man, I useful this content ❤️",positive,other
Do one about algorithms 🙏,positive,request
"Amazing work, keep it up 👏",positive,other
Would love if you cover AI tutorial in your next video,neutral,request
Better Docker would make it perfect,neutral,suggestion
It would be nice if you included Python installation,neutral,suggestion
Subtitles or Python installation would help a lot,neutral,suggestion
Can I use this on React project?,neutral,other
Not really poor for me,negative,other
"Bro, do a tutorial about ML model",neutral,request
"Honestly, I useless this video",negative,other
You should add deployment in the video,neutral,suggestion
Is it possible to audio?,neutral,other
I did Linux but not sure if it's right,neutral,other
Sorry but this bad my time,negative,other
You should add Node.js in the video,neutral,suggestion
Try adding Windows setup for better understanding,neutral,suggestion
Subtitles or DSA would help a lot,neutral,suggestion
This was kinda useless,negative,other
Could you explain Java basics step by step?,neutral,request
Is it possible to Windows setup?,neutral,other
Do one about DSA 🙏,positive,request
"Bro, do a tutorial about AI tutorial",neutral,request
You should add Windows setup in the video,neutral,suggestion
Try adding iOS for better understanding,neutral,suggestion
Does this work for Node.js?,neutral,other
Please upload a detailed guide on Node.js,neutral,request
How do I React project?,neutral,other
"Honestly, I boring this video",negative,other
What about deployment version?,neutral,other
Better GitHub would make it perfect,neutral,suggestion
Please improve the DSA quality,neutral,suggestion
"Bro, do a tutorial about AI tutorial",neutral,request
This video is so fantastic!,positive,other
Can I use this on Node.js?,neutral,other
"Bro, do a tutorial about timestamps",positive,request
You should add Python installation in the video,neutral,suggestion
I did GitHub but not sure if it's right,neutral,other
Subtitles or Java basics would help a lot,neutral,suggestion
It would be nice if you included ML model,neutral,suggestion
Please improve the DSA quality,neutral,suggestion
"Honestly, I bad this video",negative,other
Do one about Android 🙏,positive,request
Please upload a detailed guide on DSA,positive,request
Does this work for debugging?,neutral,other
Can you please make a video on ML model?,neutral,request
This helped me useful so much,positive,other
"Bro, do a tutorial about Docker",positive,request
Next video on Android please!,positive,request
Consider making React project clearer,neutral,suggestion
I did VS Code but not sure if it's right,neutral,other
Anyone tried VS Code yet?,neutral,other
You should add debugging in the video,neutral,suggestion
Not really boring for me,negative,other
This was kinda useless,negative,other
"Honestly, I dislike this video",negative,other
It would be nice if you included Android,neutral,suggestion
This was kinda useless,negative,other
You should add iOS in the video,neutral,suggestion
Too useless and confusing,negative,other
"Bro, do a tutorial about GitHub",neutral,request
Consider making AI tutorial clearer,neutral,suggestion
Subtitles or Windows setup would help a lot,neutral,suggestion
Anyone tried Node.js yet?,neutral,other
Please improve the React project quality,neutral,suggestion
Can you please make a video on Node.js?,neutral,request
Please upload a detailed guide on Android,neutral,request
Please improve the Java basics quality,neutral,suggestion
Subtitles or audio would help a lot,neutral,suggestion
Could you explain Java basics step by step?,positive,request
Better iOS would make it perfect,neutral,suggestion
Can you please make a video on debugging?,positive,request
Subtitles or React project would help a lot,neutral,suggestion
Would love if you cover debugging in your next video,positive,request
Would love if you cover DSA in your next video,positive,request
Try adding ML model for better understanding,neutral,suggestion
Consider making iOS clearer,neutral,suggestion
Would love if you cover Python installation in your next video,positive,request
Would love if you cover Java basics in your next video,positive,request
Could you explain GitHub step by step?,neutral,request
Best tutorial on helpful I've seen,positive,other
You should add debugging in the video,neutral,suggestion
Next video on DSA please!,positive,request
Please improve the deployment quality,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Can you please make a video on timestamps?,positive,request
Next video on iOS please!,positive,request
Try adding DSA for better understanding,neutral,suggestion
"Man, I useful this content ❤️",positive,other
What about audio version?,neutral,other
"Amazing work, keep it up 👏",positive,other
Do one about audio 🙏,positive,request
"Really awesome video, well done!",positive,other
Please upload a detailed guide on Windows setup,positive,request
Better algorithms would make it perfect,neutral,suggestion
It would be nice if you included deployment,neutral,suggestion
How do I iOS?,neutral,other
This was kinda dislike,negative,other
This helped me helpful so much,positive,other
This video is so awesome!,positive,other
Does this work for Linux?,neutral,other
Consider making React project clearer,neutral,suggestion
Try adding debugging for better understanding,neutral,suggestion
This helped me fantastic so much,positive,other
Didn't AI tutorial anything useful,negative,other
Can you please make a video on timestamps?,neutral,request
Subtitles or audio would help a lot,neutral,suggestion
Better coding practice would make it perfect,neutral,suggestion
Is it possible to React project?,neutral,other
Could you explain debugging step by step?,positive,request
Do one about GitHub 🙏,positive,request
You should add timestamps in the video,neutral,suggestion
Could you explain deployment step by step?,positive,request
Do one about AI tutorial 🙏,positive,request
Would love if you cover Docker in your next video,positive,request
"Man, I awesome this content ❤️",positive,other
Better Python installation would make it perfect,neutral,suggestion
How do I Java basics?,neutral,other
Consider making AI tutorial clearer,neutral,suggestion
Can you please make a video on Windows setup?,positive,request
It would be nice if you included DSA,neutral,suggestion
Could you explain GitHub step by step?,positive,request
Can you please make a video on coding practice?,positive,request
Better iOS would make it perfect,neutral,suggestion
Do one about deployment 🙏,neutral,request
Consider making deployment clearer,neutral,suggestion
Consider making GitHub clearer,neutral,suggestion
Can you please make a video on GitHub?,neutral,request
This was kinda dislike,negative,other
"Bro, do a tutorial about Linux",positive,request
Please upload a detailed guide on iOS,neutral,request
Too poor and confusing,negative,other
Please upload a detailed guide on Node.js,positive,request
Can you please make a video on VS Code?,neutral,request
How do I VS Code?,neutral,other
Try adding coding practice for better understanding,neutral,suggestion
It would be nice if you included GitHub,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Better Windows setup would make it perfect,neutral,suggestion
Next video on Android please!,positive,request
Consider making DSA clearer,neutral,suggestion
It would be nice if you included deployment,neutral,suggestion
It would be nice if you included GitHub,neutral,suggestion
You should add Node.js in the video,neutral,suggestion
This helped me fantastic so much,positive,other
Too useless and confusing,negative,other
This was kinda useless,negative,other
Subtitles or Linux would help a lot,neutral,suggestion
Please improve the Docker quality,neutral,suggestion
Could you explain coding practice step by step?,neutral,request
Would love if you cover Linux in your next video,positive,request
How do I debugging?,neutral,other
Could you explain Node.js step by step?,neutral,request
"Bro, do a tutorial about Windows setup",positive,request
Do one about DSA 🙏,positive,request
Does this work for Java basics?,neutral,other
"Bro, do a tutorial about iOS",neutral,request
Consider making coding practice clearer,neutral,suggestion
"Such a great explanation, thanks!",positive,other
Too useless and confusing,negative,other
Consider making ML model clearer,neutral,suggestion
Better Linux would make it perfect,neutral,suggestion
"Man, I fantastic this content ❤️",positive,other
Could you explain DSA step by step?,positive,request
Could you explain Docker step by step?,neutral,request
Consider making GitHub clearer,neutral,suggestion
Please improve the iOS quality,neutral,suggestion
Please upload a detailed guide on Java basics,neutral,request
"Bro, do a tutorial about Docker",positive,request
This is so useless,negative,other
Try adding Linux for better understanding,neutral,suggestion
Didn't iOS anything useful,negative,other
Please improve the Node.js quality,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Consider making AI tutorial clearer,neutral,suggestion
Too bad and confusing,negative,other
How do I Android?,neutral,other
Consider making Linux clearer,neutral,suggestion
You should add ML model in the video,neutral,suggestion
"Honestly, I bad this video",negative,other
Please upload a detailed guide on Node.js,positive,request
Better audio would make it perfect,neutral,suggestion
Do one about Linux 🙏,neutral,request
You should add Android in the video,neutral,suggestion
Please improve the deployment quality,neutral,suggestion
Can you please make a video on DSA?,neutral,request
Would love if you cover debugging in your next video,neutral,request
Next video on DSA please!,positive,request
This is so debugging,negative,other
This helped me awesome so much,positive,other
Consider making coding practice clearer,neutral,suggestion
"Man, I Windows setup this content ❤️",positive,other
Please upload a detailed guide on timestamps,positive,request
"Man, I great this content ❤️",positive,other
This helped me great so much,positive,other
Next video on DSA please!,positive,request
Subtitles or Android would help a lot,neutral,suggestion
Could you explain Android step by step?,positive,request
Consider making iOS clearer,neutral,suggestion
This helped me fantastic so much,positive,other
You should add audio in the video,neutral,suggestion
Would love if you cover timestamps in your next video,positive,request
Better Windows setup would make it perfect,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Next video on Docker please!,positive,request
Please improve the Docker quality,neutral,suggestion
Please improve the Docker quality,neutral,suggestion
Better Python installation would make it perfect,neutral,suggestion
"Bro, do a tutorial about debugging",positive,request
Try adding ML model for better understanding,neutral,suggestion
Subtitles or Python installation would help a lot,neutral,suggestion
Could you explain iOS step by step?,positive,request
What about AI tutorial version?,neutral,other
"Bro, do a tutorial about Java basics",neutral,request
What about Android version?,neutral,other
Better Docker would make it perfect,neutral,suggestion
Could you explain deployment step by step?,positive,request
Didn't useless anything useful,negative,other
Sorry but this bad my time,negative,other
This is so useless,negative,other
Can you please make a video on algorithms?,positive,request
Better GitHub would make it perfect,neutral,suggestion
Would love if you cover algorithms in your next video,positive,request
Do one about VS Code 🙏,positive,request
Would love if you cover ML model in your next video,positive,request
Consider making Python installation clearer,neutral,suggestion
I did debugging but not sure if it's right,neutral,other
You should add Linux in the video,neutral,suggestion
Try adding Node.js for better understanding,neutral,suggestion
Can you please make a video on Windows setup?,positive,request
"Bro, do a tutorial about debugging",positive,request
I did Java basics but not sure if it's right,neutral,other
It would be nice if you included Windows setup,neutral,suggestion
Please improve the ML model quality,neutral,suggestion
Better AI tutorial would make it perfect,neutral,suggestion
Sorry but this useless my time,negative,other
Could you explain debugging step by step?,positive,request
This video is so useful!,positive,other
Would love if you cover debugging in your next video,positive,request
You should add VS Code in the video,neutral,suggestion
You should add VS Code in the video,neutral,suggestion
Next video on ML model please!,positive,request
Sorry but this VS Code my time,negative,other
Please upload a detailed guide on Node.js,positive,request
Do one about Windows setup 🙏,positive,request
Would love if you cover Linux in your next video,neutral,request
Consider making Docker clearer,neutral,suggestion
It would be nice if you included iOS,neutral,suggestion
Next video on algorithms please!,positive,request
Next video on coding practice please!,neutral,request
Not really poor for me,negative,other
Can I use this on Android?,neutral,other
Can you please make a video on AI tutorial?,positive,request
Please improve the AI tutorial quality,neutral,suggestion
Would love if you cover deployment in your next video,neutral,request
Could you explain Android step by step?,neutral,request
Please improve the React project quality,neutral,suggestion
Better debugging would make it perfect,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Next video on ML model please!,neutral,request
Better ML model would make it perfect,neutral,suggestion
You should add GitHub in the video,neutral,suggestion
Better algorithms would make it perfect,neutral,suggestion
"Man, I audio this content ❤️",positive,other
"Man, I awesome this content ❤️",positive,other
"Bro, do a tutorial about Node.js",positive,request
How do I Docker?,neutral,other
Would love if you cover Python installation in your next video,positive,request
Try adding Android for better understanding,neutral,suggestion
Please improve the React project quality,neutral,suggestion
It would be nice if you included Docker,neutral,suggestion
Try adding Windows setup for better understanding,neutral,suggestion
It would be nice if you included algorithms,neutral,suggestion
Didn't useless anything useful,negative,other
Please upload a detailed guide on Linux,positive,request
Does this work for Python installation?,neutral,other
Next video on timestamps please!,positive,request
Could you explain audio step by step?,positive,request
Would love if you cover AI tutorial in your next video,positive,request
Do one about debugging 🙏,positive,request
Would love if you cover iOS in your next video,neutral,request
Could you explain Android step by step?,positive,request
Next video on iOS please!,positive,request
Do one about debugging 🙏,positive,request
"Bro, do a tutorial about React project",positive,request
Didn't poor anything useful,negative,other
What about DSA version?,neutral,other
"Bro, do a tutorial about timestamps",neutral,request
It would be nice if you included Node.js,neutral,suggestion
This was kinda boring,negative,other
Do one about coding practice 🙏,positive,request
It would be nice if you included AI tutorial,neutral,suggestion
Please improve the Android quality,neutral,suggestion
Try adding Windows setup for better understanding,neutral,suggestion
Didn't dislike anything useful,negative,other
"Really Java basics video, well done!",positive,other
You should add DSA in the video,neutral,suggestion
"Bro, do a tutorial about audio",positive,request
Subtitles or React project would help a lot,neutral,suggestion
Try adding Windows setup for better understanding,neutral,suggestion
Can you please make a video on Node.js?,positive,request
Is it possible to deployment?,neutral,other
"Such a awesome explanation, thanks!",positive,other
Please upload a detailed guide on Node.js,positive,request
It would be nice if you included Android,neutral,suggestion
"Honestly, I Python installation this video",negative,other
Best tutorial on React project I've seen,positive,other
Didn't dislike anything useful,negative,other
"Such a helpful explanation, thanks!",positive,other
Try adding Android for better understanding,neutral,suggestion
